CY,Cl,Cn,diagnostic,difference,direction,higher,lower,pass_limit,reason,reference_scale,relative_difference,rudder_deg,source,status,step_deg,warn_limit
0.004555669028,-0.00031898959,-0.000751630694,CY_delta_r,,minus,,,,,,,-0.5,,,0.5,
0.001954586669,-0.000198545745,0.000389860266,CY_delta_r,,plus,,,,,,,0.5,,,0.5,
0.005912767168,-0.000341026183,-0.001255632955,CY_delta_r,,minus,,,,,,,-1.0,,,1.0,
0.000568703093,-0.000193530604,0.000949061347,CY_delta_r,,plus,,,,,,,1.0,,,1.0,
0.008493465319,-0.000281276137,-0.002435049342,CY_delta_r,,minus,,,,,,,-2.0,,,2.0,
-0.002116259291,-0.000121925981,0.002102208519,CY_delta_r,,plus,,,,,,,2.0,,,2.0,
0.025649165533,-0.001584904607,-0.009780741705,CY_delta_r,,minus,,,,,,,-4.0,,,4.0,
-0.009167337185,0.00049940104,0.005164122735,CY_delta_r,,plus,,,,,,,4.0,,,4.0,
,,,Cm_q,nan,,5,3,,non-finite value,,,,wake,FAIL,,
,,,Cm_q,nan,,8,5,,non-finite value,,,,wake,FAIL,,
,,,Cm_q,nan,,12,8,,non-finite value,,,,wake,FAIL,,
,,,Cm_q,0.6265648000000006,,MEDIUM,COARSE,0.413123317,,13.4374439,0.046628272807152,,tessellation,WARN,,1.1049955120000001
,,,Cm_q,0.45117920000000034,,FINE,MEDIUM,0.407861749,,13.2620583,0.03402029985043878,,tessellation,WARN,,1.090964664
