preset,quantity,recommended_preset,state,status,value
COARSE,CL,FINE,cruise_trim,FAIL,0.38643
COARSE,CD,FINE,cruise_trim,FAIL,0.0236942
COARSE,CY,FINE,cruise_trim,FAIL,0.0003698
COARSE,Cl,FINE,cruise_trim,FAIL,0.0001006
COARSE,Cm,FINE,cruise_trim,FAIL,0.0040312
COARSE,Cn,FINE,cruise_trim,FAIL,-0.0001549
COARSE,CL_alpha,FINE,cruise_trim,FAIL,2.1857307
COARSE,CD_alpha,FINE,cruise_trim,FAIL,0.075098
COARSE,Cm_alpha,FINE,cruise_trim,FAIL,2.9203856
COARSE,CL_q,FINE,cruise_trim,FAIL,9.5545056
COARSE,Cm_q,FINE,cruise_trim,FAIL,-13.4374439
COARSE,CY_beta,FINE,cruise_trim,FAIL,-0.7213518
COARSE,Cl_beta,FINE,cruise_trim,FAIL,0.2817706
COARSE,Cn_beta,FINE,cruise_trim,FAIL,0.0636425
COARSE,CY_p,FINE,cruise_trim,FAIL,-0.0461163
COARSE,Cl_p,FINE,cruise_trim,FAIL,-0.4676757
COARSE,Cn_p,FINE,cruise_trim,FAIL,-0.0543612
COARSE,CY_r,FINE,cruise_trim,FAIL,0.2996051
COARSE,Cl_r,FINE,cruise_trim,FAIL,0.0972937
COARSE,Cn_r,FINE,cruise_trim,FAIL,-0.0850593
COARSE,CL_delta_e,FINE,cruise_trim,FAIL,0.386516
COARSE,CD_delta_e,FINE,cruise_trim,FAIL,-0.0051907
COARSE,Cm_delta_e,FINE,cruise_trim,FAIL,-1.3865699
COARSE,CY_delta_a,FINE,cruise_trim,FAIL,-0.0450973
COARSE,Cl_delta_a,FINE,cruise_trim,FAIL,-0.2575313
COARSE,Cn_delta_a,FINE,cruise_trim,FAIL,-0.0346613
COARSE,CY_delta_r,FINE,cruise_trim,FAIL,-0.3802907
COARSE,Cl_delta_r,FINE,cruise_trim,FAIL,-0.1088276
COARSE,Cn_delta_r,FINE,cruise_trim,FAIL,0.3340485
MEDIUM,CL,FINE,cruise_trim,FAIL,0.3841835
MEDIUM,CD,FINE,cruise_trim,FAIL,0.022678
MEDIUM,CY,FINE,cruise_trim,FAIL,0.0002036
